subcolony,region,site,sugar,octopamine,treatment,phase,day,temperature,initial_for,n_0,n_10,n_20,n_30,n_40,n_50,n_60,cov_0,cov_10,cov_20,cov_30,cov_40,cov_50,cov_60,time_top,sug_0,sug_10,sug_20,sug_30,sug_40,sug_50,sug_60
12,AR,ROS,high,yes,OA,acclimation,4,23.9,108,0,12,10,6,15,8,11,0,1,4,2,3,4,3,10,0,0,0,0,0,0,0
13,AR,VLO,low,no,low_sugar,acclimation,4,23.9,18,0,7,9,8,4,5,3,0,0,1,2,0,1,1,60,0,0,0,0,0,0,0
14,AR,UBA,high,yes,OA,acclimation,4,23.9,34,0,1,6,4,2,4,7,0,0,3,1,1,2,2,20,0,0,0,0,0,0,0
15,AR,OTA,low,no,low_sugar,acclimation,4,23.9,42,0,11,15,37,15,26,14,0,1,3,6,8,3,3,10,0,0,0,0,0,0,0
16,AR,VLO,high,yes,OA,acclimation,4,23.9,51,0,4,14,13,8,12,6,0,0,3,4,2,3,3,20,0,0,0,0,0,0,0
17,AR,UBA,low,yes,OA_low_sugar,acclimation,4,23.9,10,0,2,15,6,13,7,11,0,0,3,3,2,5,3,20,0,0,0,0,0,0,0
18,AR,ROS,high,no,control,acclimation,4,23.9,84,0,0,9,5,10,10,3,0,0,1,2,1,0,1,40,0,0,0,0,0,0,0
19,AR,ROS,low,yes,OA_low_sugar,acclimation,4,23.9,64,0,2,9,3,3,6,11,0,1,2,2,1,2,3,20,0,0,0,0,0,0,0
20,AR,OTA,high,no,control,acclimation,4,23.9,30,0,3,14,8,12,10,9,0,1,2,2,2,1,2,10,0,0,0,0,0,0,0
21,AR,OTA,low,yes,OA_low_sugar,acclimation,4,23.9,29,0,1,6,6,7,3,11,0,1,4,1,3,2,3,10,0,0,0,0,0,0,0
22,AR,VLO,high,no,control,acclimation,4,23.9,42,0,11,17,16,16,16,16,0,3,3,4,2,2,3,20,0,0,0,0,0,0,0
23,AR,VLO,low,yes,OA_low_sugar,acclimation,4,23.9,40,0,1,4,7,9,5,3,0,1,1,1,2,1,2,61,0,0,0,0,0,0,0
24,AR,UBA,high,no,control,acclimation,4,23.9,32,0,5,13,9,6,5,6,0,1,0,1,0,1,1,61,0,0,0,0,0,0,0
25,AR,VLO,low,yes,OA_low_sugar,acclimation,4,23.9,65,0,3,7,11,10,10,12,0,2,4,2,5,4,3,20,0,0,0,0,0,0,0
26,AR,UBA,high,no,control,acclimation,4,23.9,39,0,6,6,5,5,16,7,0,0,1,2,1,1,1,30,0,0,0,0,0,0,0
27,AR,OTA,low,yes,OA_low_sugar,acclimation,4,23.9,35,0,12,18,25,16,13,12,0,2,5,7,4,4,4,10,0,0,0,0,0,0,0
28,AR,VLO,high,no,control,acclimation,4,23.9,92,0,12,15,21,12,22,12,0,2,5,6,2,6,5,20,0,0,0,0,0,0,0
29,AR,ROS,low,yes,OA_low_sugar,acclimation,4,23.9,73,0,11,11,14,23,15,14,0,4,4,3,5,5,5,10,0,0,0,0,0,0,0
30,AR,OTA,high,no,control,acclimation,4,23.9,32,0,11,12,19,14,22,12,0,1,4,3,1,6,2,20,0,0,0,0,0,0,0
31,AR,UBA,low,yes,OA_low_sugar,acclimation,4,23.9,41,0,2,7,14,17,15,17,0,1,1,5,5,2,2,40,0,0,0,0,0,0,0
32,AR,ROS,high,no,control,acclimation,4,23.9,156,0,9,20,17,16,21,20,0,2,5,5,3,2,4,10,0,0,0,0,0,0,0
1,AR,OTA,low,no,low_sugar,acclimation,5,23.4,57,0,22,33,32,24,34,40,0,2,8,6,6,10,8,20,0,0,0,0,0,0,0
2,AR,VLO,high,yes,OA,acclimation,5,23.4,48,0,6,7,10,5,5,7,0,1,1,2,3,4,3,40,0,0,0,0,0,0,0
3,AR,VLO,low,no,low_sugar,acclimation,5,23.4,43,0,3,0,4,8,8,8,0,3,0,3,4,4,4,10,0,0,0,0,0,0,0
4,AR,UBA,high,yes,OA,acclimation,5,23.4,16,0,1,1,2,2,2,6,0,0,0,1,0,1,2,30,0,0,0,0,0,0,0
5,AR,UBA,low,no,low_sugar,acclimation,5,23.4,33,0,1,9,11,5,4,2,0,0,2,1,1,0,0,61,0,0,0,0,0,0,0
6,AR,ROS,high,yes,OA,acclimation,5,23.4,107,0,15,23,41,25,19,20,0,1,3,6,6,5,4,10,0,0,0,0,0,0,0
7,AR,ROS,low,no,low_sugar,acclimation,5,23.4,48,0,4,15,18,10,15,13,0,1,4,5,3,6,4,20,0,0,0,0,0,0,0
8,AR,OTA,high,yes,OA,acclimation,5,23.4,31,0,10,16,8,19,14,12,0,1,6,3,7,3,4,30,0,0,0,0,0,0,0
9,AR,ROS,low,no,low_sugar,acclimation,5,23.4,36,0,2,7,10,10,7,7,0,0,1,5,4,2,1,30,0,0,0,0,0,0,0
10,AR,OTA,high,yes,OA,acclimation,5,23.4,41,0,12,26,25,11,17,8,0,0,4,5,2,8,3,20,0,0,0,0,0,0,0
11,AR,UBA,low,no,low_sugar,acclimation,5,23.4,28,0,2,6,7,12,19,15,0,0,2,3,2,1,3,20,0,0,0,0,0,0,0
12,AR,ROS,high,yes,OA,acclimation,5,23.4,97,0,5,21,13,17,14,13,0,0,3,3,6,5,1,20,0,0,0,0,0,0,0
13,AR,VLO,low,no,low_sugar,acclimation,5,23.4,35,0,1,9,6,6,2,4,0,0,2,2,2,0,1,61,0,0,0,0,0,0,0
14,AR,UBA,high,yes,OA,acclimation,5,23.4,35,0,2,2,3,8,5,4,0,1,1,1,1,2,0,30,0,0,0,0,0,0,0
15,AR,OTA,low,no,low_sugar,acclimation,5,23.4,50,0,2,4,14,10,8,8,0,1,1,2,4,2,5,10,0,0,0,0,0,0,0
16,AR,VLO,high,yes,OA,acclimation,5,23.4,49,0,4,0,1,5,3,4,0,0,0,0,1,2,1,50,0,0,0,0,0,0,0
17,AR,UBA,low,yes,OA_low_sugar,acclimation,5,23.4,9,0,3,7,10,2,6,9,0,0,1,2,0,2,4,20,0,0,0,0,0,0,0
18,AR,ROS,high,no,control,acclimation,5,23.4,78,0,5,5,16,15,10,13,0,0,1,4,4,4,4,30,0,0,0,0,0,0,0
19,AR,ROS,low,yes,OA_low_sugar,acclimation,5,23.4,61,0,7,6,11,8,9,12,0,1,3,4,1,5,5,20,0,0,0,0,0,0,0
20,AR,OTA,high,no,control,acclimation,5,23.4,20,0,7,8,22,13,13,17,0,3,3,3,2,2,5,10,0,0,0,0,0,0,0
21,AR,OTA,low,yes,OA_low_sugar,acclimation,5,23.4,21,0,1,9,10,8,14,15,0,0,2,3,2,3,5,30,0,0,0,0,0,0,0
22,AR,VLO,high,no,control,acclimation,5,23.4,53,0,2,8,7,9,7,4,0,1,2,2,1,2,2,20,0,0,0,0,0,0,0
23,AR,VLO,low,yes,OA_low_sugar,acclimation,5,23.4,33,0,1,3,6,11,11,11,0,0,0,4,3,4,3,30,0,0,0,0,0,0,0
24,AR,UBA,high,no,control,acclimation,5,23.4,30,0,0,7,4,4,9,3,0,0,0,0,1,3,1,61,0,0,0,0,0,0,0
25,AR,VLO,low,yes,OA_low_sugar,acclimation,5,23.4,56,0,3,7,11,13,11,15,0,1,1,6,2,3,4,30,0,0,0,0,0,0,0
26,AR,UBA,high,no,control,acclimation,5,23.4,26,0,1,7,7,10,13,7,0,1,1,2,2,3,2,20,0,0,0,0,0,0,0
27,AR,OTA,low,yes,OA_low_sugar,acclimation,5,23.4,45,0,6,16,16,25,12,10,0,1,2,6,6,4,3,20,0,0,0,0,0,0,0
28,AR,VLO,high,no,control,acclimation,5,23.4,55,0,3,8,6,15,11,6,0,0,1,1,4,2,2,40,0,0,0,0,0,0,0
29,AR,ROS,low,yes,OA_low_sugar,acclimation,5,23.4,74,0,8,24,16,17,22,15,0,2,6,6,3,6,7,50,0,0,0,0,0,0,0
30,AR,OTA,high,no,control,acclimation,5,23.4,38,0,13,17,14,18,17,11,0,2,4,3,4,2,4,20,0,0,0,0,0,0,0
31,AR,UBA,low,yes,OA_low_sugar,acclimation,5,23.4,26,0,3,7,9,11,12,9,0,1,1,4,5,3,4,30,0,0,0,0,0,0,0
32,AR,ROS,high,no,control,acclimation,5,23.4,138,0,12,28,19,11,22,7,0,1,7,4,6,6,3,20,0,0,0,0,0,0,0
1,AR,OTA,low,no,low_sugar,treatment,6,23.3,58,0,7,20,25,30,27,24,0,2,5,5,6,4,5,10,0,0,0,0,0,0,0
2,AR,VLO,high,yes,OA,treatment,6,23.3,35,0,7,18,22,10,10,15,0,1,3,3,2,2,3,50,0,0,0,0,0,0,0
3,AR,VLO,low,no,low_sugar,treatment,6,23.3,30,0,2,6,8,3,5,8,0,0,2,3,1,2,2,20,0,0,0,0,0,0,0
4,AR,UBA,high,yes,OA,treatment,6,23.3,23,0,0,1,3,3,9,5,0,0,0,1,1,1,1,40,0,0,0,0,0,0,0
5,AR,UBA,low,no,low_sugar,treatment,6,23.3,24,0,0,0,1,3,2,2,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0
6,AR,ROS,high,yes,OA,treatment,6,23.3,112,0,17,56,63,42,45,35,0,3,6,10,8,8,6,20,0,0,0,0,0,0,0
7,AR,ROS,low,no,low_sugar,treatment,6,23.3,38,0,2,10,28,11,11,11,0,1,3,7,5,2,6,10,0,0,0,0,0,0,0
8,AR,OTA,high,yes,OA,treatment,6,23.3,35,0,12,4,15,12,8,7,0,4,1,4,6,6,2,50,0,0,0,0,0,0,0
9,AR,ROS,low,no,low_sugar,treatment,6,23.3,43,0,6,13,14,17,16,10,0,1,3,2,3,4,2,30,0,0,0,0,0,0,0
10,AR,OTA,high,yes,OA,treatment,6,23.3,23,0,6,24,17,20,27,14,0,1,6,5,3,7,4,20,0,0,0,0,0,0,0
11,AR,UBA,low,no,low_sugar,treatment,6,23.3,14,0,1,3,5,4,10,3,0,0,1,0,1,2,1,20,0,0,0,0,0,0,0
12,AR,ROS,high,yes,OA,treatment,6,23.3,92,0,6,10,15,11,16,13,0,0,5,5,4,5,4,20,0,0,0,0,0,0,0
13,AR,VLO,low,no,low_sugar,treatment,6,23.3,30,0,3,9,13,14,10,7,0,0,2,1,2,3,2,20,0,0,0,0,0,0,0
14,AR,UBA,high,yes,OA,treatment,6,23.3,22,0,0,10,8,5,5,5,0,0,5,2,3,0,1,20,0,0,0,0,0,0,0
15,AR,OTA,low,no,low_sugar,treatment,6,23.3,14,0,2,16,25,12,17,16,0,0,3,6,4,3,5,30,0,0,0,0,0,0,0
16,AR,VLO,high,yes,OA,treatment,6,23.3,42,0,7,7,11,8,10,9,0,2,0,3,2,2,2,30,0,0,0,0,0,0,0
17,AR,UBA,low,yes,OA_low_sugar,treatment,6,23.3,18,0,0,8,8,8,7,3,0,0,2,1,3,1,0,20,0,0,0,0,0,0,0
18,AR,ROS,high,no,control,treatment,6,23.3,60,0,7,15,14,12,16,13,0,0,3,3,3,5,4,30,0,0,0,0,0,0,0
19,AR,ROS,low,yes,OA_low_sugar,treatment,6,23.3,43,0,2,6,11,12,12,13,0,0,2,1,4,4,3,30,0,0,0,0,0,0,0
20,AR,OTA,high,no,control,treatment,6,23.3,22,0,6,7,13,6,12,12,0,2,1,2,3,4,2,20,0,0,0,0,0,0,0
21,AR,OTA,low,yes,OA_low_sugar,treatment,6,23.3,35,0,1,10,14,12,21,19,0,0,1,5,5,5,4,30,0,0,0,0,0,0,0
22,AR,VLO,high,no,control,treatment,6,23.3,38,0,2,2,5,3,4,3,0,1,0,0,2,1,1,61,0,0,0,0,0,0,0
