Date,Batch,Sample,Treatment,Colony,OA,DHBA,DA,TYR,SER,Buffer
1-Aug,G,5,standard_1,STD,0,406779018,0,0,0,2
1-Aug,G,6,standard_2,STD,42702621,404242386,118544154,78915027,NA,2
1-Aug,G,7,standard_3,STD,74004452,399450034,192275904,116140074,105545189,2
1-Aug,G,8,standard_4,STD,132576640,400950217,342027800,185075522,173993587,2
1-Aug,G,9,standard_5,STD,194804590,395339150,488119701,256350463,247675172,2
1-Aug,G2,10,CTRL,17,108784377,366678590,2800462821,NA,314122649,2
1-Aug,G2,11,LS,29,98756515,382894503,4502313721,NA,342562164,2
1-Aug,G2,12,OA,24,586189244,352069269,6078655339,NA,332213596,2
1-Aug,G2,13,LSOA,31,221965420,370511234,3379164609,NA,316244331,2
1-Aug,H1,1,CTRL,17,108667269,375831535,1569845771,24773604,342866297,2
1-Aug,H1,2,LS,29,107480223,370580081,1671706074,20664883,323391485,2
1-Aug,H1,3,OA,24,254617468,365539179,2368501523,9158065,348620332,2
1-Aug,H1,4,LSOA,31,2933607855,335799507,6109072326,NA,331451606,2
1-Aug,H,5,standard_1,STD,0,408195565,0,0,0,2
1-Aug,H,6,standard_2,STD,41082731,399661592,117267526,79085637,73273140,2
1-Aug,H,7,standard_3,STD,68933881,405618537,189661663,111787308,NA,2
1-Aug,H,8,standard_4,STD,129164826,400709250,334962727,185868158,161988987,2
1-Aug,H,9,standard_5,STD,183411381,404698469,474435062,249083253,238506795,2
1-Aug,H2,10,CTRL,17,104496036,373903015,2797350766,13424688,616036686,2
1-Aug,H2,11,LS,29,117281027,367864566,2771278755,18527242,362151848,2
1-Aug,H2,12,OA,24,1408887592,347305121,3404548572,16470546,321951725,2
1-Aug,H2,13,LSOA,31,226748973,366117133,2360013977,NA,294254210,2
